GROUP,_IND,_q0,_q1,_q2,_q3,_q4,_q5,_q6,_q7,_q8,_q9,_q10,_q11,_q12,_q13,_q14,_q15,_q16,_q17,_q18,_q19,_q20,_q21,_q22,_q23,_q24,_q25,_q26,_q27,_q28,_q29,_q30,_q31,_q32,_q33,_q34,_q35,_q36,_q37,_q38,_q39,_q40,_q41,_q42,_q43,_q44,_q45,_q46,_q47,_q48,_q49,_q50,_q51,_q52,_q53,_q54,_q55,_q56,_q57,_q58,_q59,_q60,_q61,_q62,_q63,_q64,_q65,_q66,_q67,_q68,_q69,_q70,_q71,_q72,_q73,_q74,_q75,_q76,_q77,_q78,_q79,_q80,_q81,_q82,_q83,_q84,_q85,_q86,_q87,_q88,_q89,_q90,_q91,_q92,_q93,_q94,_q95,_q96,_q97,_q98,_q99
0,0,602.80619,598.84207,599.25614,599.29522,599.26797,600.79642,600.01327,596.51253,590.42149,580.87351,566.72258,546.95565,521.84274,492.71923,457.42817,421.05331,384.51983,348.64516,315.97201,286.87478,263.09476,243.70736,226.74623,212.36785,200.97014,192.30023,186.85085,183.68095,181.88728,179.92216,176.11648,169.49692,160.61648,151.35532,142.08434,133.20825,124.87979,117.18426,110.36420,104.42666,99.03884,94.54604,90.58292,86.78801,83.21856,79.93134,76.80518,73.88253,70.92635,68.13853,65.27475,62.49903,60.14742,57.22086,54.82589,52.56966,50.49064,48.60949,46.79902,45.36042,43.96470,42.67382,41.83073,41.28093,40.89488,40.93993,41.53964,42.78476,45.27590,48.90249,53.88068,60.08815,66.66181,73.44077,79.63611,84.34290,87.53583,89.44830,90.43420,91.26528,92.43014,94.08385,95.54276,95.99593,94.16886,89.81030,84.68515,78.60740,72.31963,65.81038,59.70670,54.45445,49.52993,44.99387,40.05180,35.68243,31.72371,28.08638,25.15606,22.38103
0,0,105.33422,105.30113,106.32421,106.25259,104.06180,100.71999,97.74186,94.15960,89.73319,85.35285,81.53336,78.25475,75.83770,74.15125,73.21209,72.75632,72.81306,73.45640,74.19341,74.88128,75.86437,76.88797,78.19059,79.76531,80.64023,80.60131,79.51361,77.71955,75.44167,72.93129,70.61583,68.43632,65.80740,62.57165,59.36370,56.56577,54.09207,51.96781,49.65505,47.29388,44.42588,40.80551,36.86310,33.03088,29.65219,26.64195,23.98398,21.34757,18.60355,16.11519,13.78901,11.83867,10.27052,9.12363,8.29967,7.61027,7.20754,6.93111,6.73578,6.66747,6.72463,6.87962,7.14569,7.47296,7.76861,8.04020,8.29431,8.45757,8.50743,8.57105,8.57099,8.58700,8.71103,8.93200,9.24726,9.72997,10.48278,11.59693,12.88010,14.21650,15.56794,16.51463,17.04923,17.16139,16.94811,16.43918,15.73619,15.14376,14.41919,13.80787,13.32791,12.85897,12.38735,11.87539,11.23420,10.42769,9.50689,8.42549,7.20847,6.13470
0,0,383.07063,382.32331,374.31397,375.68569,384.28764,393.37128,403.31594,413.68957,422.34698,427.02244,422.62082,411.63161,391.66871,365.96131,333.94088,298.68786,265.74346,236.04536,211.16391,189.56937,169.56575,150.11387,132.49787,117.34853,104.24221,94.20273,87.53947,83.02736,80.63293,79.83394,80.40095,82.79292,86.94671,93.34576,101.96409,111.89445,122.66938,133.07275,139.94809,141.27572,136.60882,127.65423,115.79448,102.96138,89.77351,77.70079,68.09971,60.64769,55.31369,51.44894,48.68627,46.24548,44.41584,43.12893,41.78376,40.36091,39.03058,37.53820,35.58814,33.04715,30.50900,27.83909,25.43499,23.94555,24.27796,27.41340,34.58874,46.68117,64.18320,87.68535,114.60230,144.82128,175.80767,206.95592,235.46430,258.37950,275.11621,285.54227,289.47658,287.17044,280.98789,273.63244,265.93683,261.16229,259.20027,257.28596,252.23656,242.51746,228.73166,210.38440,191.89918,168.64021,147.82355,130.78238,115.67389,102.92699,91.90199,81.39659,71.89578,63.01532
0,0,330.60208,331.36606,330.03612,329.66379,333.44133,342.59368,350.09848,352.67925,350.83850,344.78171,333.60141,319.39071,302.58833,283.43102,263.02512,242.15707,221.94260,202.89096,186.20949,173.53992,164.90983,158.75398,153.55152,148.32969,142.10261,133.71996,124.03664,114.54354,106.42365,100.06698,95.15683,91.67598,88.81563,85.48072,80.96883,75.20118,68.93707,62.70445,56.85592,51.75044,47.50397,43.68084,40.42393,37.84932,35.69617,33.83798,32.44417,31.34373,30.53563,30.06010,29.40509,28.50955,27.68881,26.99750,26.23638,25.45150,24.65554,23.94582,23.40244,23.01065,22.77050,22.89324,23.35802,24.09891,25.27494,27.13355,29.44897,32.55139,36.51307,40.94256,45.55462,49.40072,51.95314,53.18956,53.09840,51.62892,49.82826,47.97992,45.96793,44.10836,43.03576,42.59737,42.97249,43.44776,42.79470,41.05593,38.26604,34.12044,29.42514,25.13858,20.58362,16.84789,14.04786,11.81927,10.10292,8.82236,7.78360,6.95101,6.30164,5.72444
0,0,299.40522,297.32024,298.13272,292.45492,277.70792,256.37462,231.75079,207.57320,185.54555,168.81903,158.40103,155.87536,160.74607,170.68704,183.91888,198.00925,208.95716,214.74731,212.14741,200.51317,182.06909,159.45451,135.44028,112.62708,92.12026,74.99759,60.70422,49.51324,41.23054,35.38319,31.59423,29.30276,27.88068,26.84211,25.99324,25.11713,24.23353,23.32009,22.31177,21.29762,20.32301,19.28096,18.38930,17.55369,16.81733,16.15727,15.55999,15.02693,14.48841,13.98903,13.60380,13.21550,12.73956,12.31366,11.96178,11.65068,11.39094,11.11057,10.84626,10.59312,10.48316,10.35313,10.11031,9.87163,9.64609,9.36383,9.11788,8.83434,8.69657,8.44693,8.24401,8.19115,8.07301,7.98008,8.04601,7.89340,7.84204,7.78850,7.66366,7.49733,7.30275,7.05793,6.74007,6.49054,6.20717,5.91441,5.65548,5.33910,5.00195,4.66933,4.22888,3.83249,3.43541,3.07826,2.71418,2.35467,2.03018,1.74096,1.50069,1.30652
0,0,277.70863,275.60881,272.54517,268.30441,263.27300,258.22997,252.65971,246.34823,240.66722,230.93254,213.93905,201.03401,192.61665,186.72285,183.16906,181.24690,178.67025,175.29901,171.17948,164.58382,155.59922,145.96058,135.64456,126.06760,116.55655,107.37625,99.10062,91.02173,83.09146,75.20399,67.92017,61.80986,57.35735,55.34420,55.99036,59.78021,66.77865,77.06153,90.54791,106.48284,126.87912,148.68515,171.18088,195.57389,218.99937,240.29159,257.08952,266.20287,266.22949,258.98991,247.96598,235.32593,222.15234,210.61558,201.86968,194.93979,191.39047,189.09932,187.73576,188.62386,192.32095,198.76459,207.73131,216.35144,221.13064,220.33760,213.89361,201.76195,186.25402,169.67623,152.97122,136.80945,122.88487,112.24316,105.47656,99.90108,93.77882,88.14237,80.70459,71.60230,61.81727,52.38551,44.07062,37.14617,32.05097,28.37418,25.59335,23.24974,20.98727,18.90496,16.86536,15.16108,13.70288,12.34667,11.44646,10.47727,9.72517,9.16419,8.60738,8.21984
0,0,1435.52972,1426.57798,1405.27353,1374.23575,1335.67519,1290.99131,1241.78726,1188.29241,1130.25109,1068.61233,1005.72323,942.82085,879.92298,817.72716,757.96509,700.03288,644.44315,592.18767,543.68400,498.77000,457.47887,419.78770,385.99378,356.36218,330.29284,307.38389,287.28869,269.83018,254.79920,241.46214,229.87175,219.66102,210.44488,202.44490,195.41556,188.99191,183.00486,177.51903,172.56680,167.76964,163.22559,158.95895,154.85133,151.14841,147.66571,144.36328,141.20133,137.96104,134.55059,131.22145,128.00431,124.74044,121.46653,118.47676,115.37765,112.24326,109.41509,106.71131,104.29771,102.19481,100.16920,98.03822,96.03363,94.50245,92.76047,90.60204,88.69690,86.80831,84.69251,82.52408,80.40240,78.11445,75.80945,73.50060,71.34137,69.40051,67.46843,65.81200,64.61380,64.16394,64.27578,63.78208,62.63522,60.68976,58.03937,55.21661,52.45049,49.60602,46.95509,44.51939,41.85895,39.39225,37.58815,36.05184,34.38907,32.99069,31.60934,30.40074,29.41961,28.38426
0,0,394.71828,391.61699,390.18122,389.39450,387.56492,381.05839,369.08121,352.74129,333.85541,315.29760,296.31081,278.13675,264.38934,254.61440,248.82442,246.40131,245.89396,245.91966,243.53710,238.95027,233.74350,227.18135,221.58537,216.77448,210.72105,202.57675,191.98522,178.44643,162.46119,146.02064,130.68491,117.69881,107.89926,101.67960,99.09236,99.25154,101.26960,104.51369,107.89477,110.39400,112.07138,113.49181,114.27684,114.16261,113.72788,113.54419,113.05129,111.74568,108.42314,102.34308,94.38089,85.44573,76.53069,68.19488,60.60252,54.80436,50.50309,47.46552,46.16170,45.96932,46.68525,48.04413,49.83937,52.72203,55.90540,59.02021,62.39380,65.67379,68.22580,69.99883,71.19520,71.66436,71.96753,72.42685,73.04886,73.86276,74.91301,76.57067,79.16792,82.39868,85.04323,86.72566,87.35896,86.45869,83.45749,78.58833,72.44936,65.79815,59.69254,54.31663,49.55260,45.31314,41.46336,38.01502,34.65482,31.12433,27.73948,24.38200,21.11657,18.24859
0,0,827.83059,823.14510,819.35248,814.34145,808.98212,806.70923,791.84617,738.61013,653.27416,569.79096,481.71089,393.99045,313.85315,244.98714,189.99152,147.92069,116.77865,95.12246,81.31830,72.74899,68.43847,66.50021,65.73686,66.06764,66.81118,67.90147,69.20752,70.21755,70.43921,69.95661,68.29893,65.76810,62.88066,59.57964,56.34682,53.46229,50.94374,48.75303,46.89865,45.27169,44.09256,43.27798,42.61574,42.42547,42.18315,42.00949,42.10337,42.20623,42.33522,42.60883,42.85849,42.94727,43.03961,43.09491,42.69696,42.05340,41.46072,40.51276,39.47752,38.31659,37.17078,36.27352,35.35879,34.61738,33.89035,33.19129,32.78556,32.48556,33.01570,33.81525,34.35115,35.17832,35.72647,36.36961,37.09369,37.59660,38.07878,38.28184,38.18432,37.70258,36.62480,35.06795,33.67412,32.00901,30.02352,28.37998,26.75562,25.29399,23.90393,22.46993,21.10223,19.61850,18.06507,16.91217,16.27804,15.53817,14.67281,13.77419,12.86247,11.90310
0,0,390.80473,389.76386,389.33384,387.70105,385.49098,383.09807,372.42199,345.95468,322.63378,313.30411,314.04807,324.20473,340.80743,361.91087,381.84133,396.33936,402.89688,397.82241,381.17883,357.07052,327.78662,296.52614,267.07488,240.37108,217.58635,199.17301,184.78505,173.37239,164.15313,157.43705,152.84098,147.15107,140.40162,133.33189,125.78932,119.33167,113.59139,108.77798,104.88513,100.45169,94.38850,87.93036,80.22799,72.16073,64.43889,57.29169,51.14356,45.94018,41.60191,38.29368,35.46652,32.78045,30.65910,28.90939,27.63920,26.11406,24.78522,24.19727,23.74987,24.04245,24.93600,26.59682,29.27732,32.93898,37.62651,43.77783,50.93826,59.44539,69.16045,78.55349,86.00811,91.28413,93.97822,94.45142,92.40820,87.97992,83.21937,78.05725,72.14498,64.88998,56.70213,48.78993,41.52435,35.14747,29.97741,25.94879,23.22738,21.76354,20.62286,20.58902,21.10090,21.38747,21.38838,20.90482,19.11030,16.75249,13.51672,9.66086,6.06276,3.22585
