SUPP,DOSE,len
1,0,4.2
1,0,11.5
1,0,7.3
1,0,5.8
1,0,6.4
1,0,10
1,0,11.2
1,0,11.2
1,0,5.2
1,0,7
1,1,16.5
1,1,16.5
1,1,15.2
1,1,17.3
1,1,22.5
1,1,17.3
1,1,13.6
1,1,14.5
1,1,18.8
1,1,15.5
1,2,23.6
1,2,18.5
1,2,33.9
1,2,25.5
1,2,26.4
1,2,32.5
1,2,26.7
1,2,21.5
1,2,23.3
1,2,29.5
0,0,15.2
0,0,21.5
0,0,17.6
0,0,9.7
0,0,14.5
0,0,10
0,0,8.2
0,0,9.4
0,0,16.5
0,0,9.7
0,1,19.7
0,1,23.3
0,1,23.6
0,1,26.4
0,1,20
0,1,25.2
0,1,25.8
0,1,21.2
0,1,14.5
0,1,27.3
0,2,25.5
0,2,26.4
0,2,22.4
0,2,24.5
0,2,24.8
0,2,30.9
0,2,26.4
0,2,27.3
0,2,29.4
0,2,23
